Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771541318406,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,29.7297306060791,27.02702522277832,16.216215133666992,20,15.789472579956055,13.88888931274414,27.02702522277832,21.052631378173828,22.85714340209961,27.02702522277832,18.91891860961914,17.142858505249023,16.666667938232422,18.518518447875977,18.91891860961914,13.51351261138916,0,142750.1248779297,68127.25787353516,3553.0018920898438,33050337280,8589930496,4845694976,0
199,1771541318406,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,29.7297306060791,27.02702522277832,16.216215133666992,20,15.789472579956055,13.88888931274414,27.02702522277832,21.052631378173828,22.85714340209961,27.02702522277832,18.91891860961914,17.142858505249023,16.666667938232422,18.518518447875977,18.91891860961914,13.51351261138916,0,142750.1248779297,68127.25787353516,3553.0018920898438,33050337280,8589930496,4846067712,0
199,1771541318606,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,0,54.54545593261719,0,9.090909004211426,35,15.000000953674316,0,0,9.523809432983398,20,0,4.761904716491699,9.523809432983398,21.052631378173828,13.636363983154297,5,0,142752.23468017578,68128.26580810547,3553.003662109375,33050337280,8589930496,4866277376,0
199,1771541318807,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,4.761904716491699,84.21052551269531,0,0,0,0,0,4.761904716491699,15.789472579956055,0,4.761904716491699,5,0,0,0,4.761904716491699,0,142754.3276977539,68129.26007080078,3553.003662109375,33050337280,8589930496,4867112960,0
199,1771541319007,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,0,0,0,0,0,5,0,0,100,0,0,0,0,0,0,0,0,142756.31982421875,68129.80639648438,3553.003662109375,33050337280,8589930496,4868128768,0
199,1771541319207,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,15.000000953674316,5.263157844543457,9.090909004211426,0,5.263157844543457,9.523809432983398,15.000000953674316,0,100,0,0,20,5.263157844543457,10,0,5.263157844543457,0,142757.84576416016,68130.1527709961,3553.003662109375,33050337280,8589930496,4869255168,0
199,1771541319407,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,5,4.761904716491699,0,0,10,0,4.761904716491699,0,45,55,5,0,5,0,5,0,0,142759.16314697266,68130.43823242188,3553.0038452148438,33050337280,8589930496,4876210176,0
199,1771541319607,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,38.095237731933594,31.57894515991211,5,0,10,10.526315689086914,14.285715103149414,0,15.000000953674316,70,5,5,19.047618865966797,14.285715103149414,5.263157844543457,5,0,142761.24151611328,68131.38195800781,3553.0038452148438,33050337280,8589930496,4775362560,0
199,1771541319807,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,65,28.571430206298828,15.000000953674316,10,10,15.000000953674316,11.111111640930176,5,9.523809432983398,0,33.333335876464844,5,9.523809432983398,5.263157844543457,15.789472579956055,15.000000953674316,0,142763.39044189453,68132.72668457031,3553.0038452148438,33050337280,8589930496,4577783808,0
199,1771541320007,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,40,21.052631378173828,15.789472579956055,5,10.526315689086914,25,19.047618865966797,10,10.526315689086914,0,5,19.047618865966797,21.052631378173828,9.523809432983398,10,5.263157844543457,0,142764.8924560547,68133.44659423828,3553.0074462890625,33050337280,8589930496,4649467904,0
199,1771541320207,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,15.000000953674316,21.052631378173828,9.523809432983398,5.263157844543457,15.000000953674316,10.526315689086914,5.263157844543457,5,15.000000953674316,19.047618865966797,36.842105865478516,21.052631378173828,35,5.263157844543457,5.263157844543457,5,0,142767.0391845703,68134.61346435547,3553.1766357421875,33050337280,8589930496,4720828416,0
199,1771541320407,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,10,15.000000953674316,5,5,10,0,5.263157844543457,10,5.263157844543457,10.526315689086914,14.285715103149414,5.263157844543457,21.052631378173828,9.523809432983398,9.523809432983398,10,0,142768.23699951172,68134.88787841797,3553.3507690429688,33050337280,8589930496,4744671232,0
199,1771541320608,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,0,5.263157844543457,5.263157844543457,5.263157844543457,10,10,10,0,15.000000953674316,14.285715103149414,0,0,5,10.526315689086914,19.047618865966797,5,0,142769.3598022461,68135.13470458984,3553.4716796875,33050337280,8589930496,4760772608,0
199,1771541320808,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,5.263157844543457,10,5.263157844543457,13.636363983154297,10.526315689086914,15.000000953674316,5,14.285715103149414,5.263157844543457,10,10,10,10,35,57.894737243652344,20,0,142770.86602783203,68135.73657226563,3553.5825805664063,33050337280,8589930496,4788109312,0
199,1771541321008,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,5,5,25,0,21.052631378173828,25,15.000000953674316,5.263157844543457,9.523809432983398,0,0,61.904762268066406,9.523809432983398,42.105262756347656,10.526315689086914,40,0,142773.2333984375,68137.22283935547,3553.6957397460938,33050337280,8589930496,4783427584,0
199,1771541321208,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,50,5.263157844543457,10,13.636363983154297,15.000000953674316,20,25,10,20,14.285715103149414,10,21.052631378173828,21.052631378173828,19.047618865966797,10,5.263157844543457,0,142775.47686767578,68138.5884399414,3553.7836303710938,33050337280,8589930496,4832403456,0
199,1771541321408,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,20,14.285715103149414,10.526315689086914,15.000000953674316,25,20,21.052631378173828,10.526315689086914,90,15.789472579956055,10,5,14.285715103149414,21.052631378173828,28.571430206298828,15.000000953674316,0,142778.53045654297,68140.7431640625,3553.8876953125,33050337280,8589930496,4854693888,0
199,1771541321608,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,10.526315689086914,15.789472579956055,25,10.526315689086914,35,20,19.047618865966797,19.047618865966797,36.842105865478516,40,40,10,15.789472579956055,14.285715103149414,10.526315689086914,5,0,142781.12963867188,68142.44061279297,3553.9697265625,33050337280,8589930496,4893949952,0
199,1771541321808,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,25,15.789472579956055,15.789472579956055,20,25,31.57894515991211,16.666667938232422,16.666667938232422,10.526315689086914,15.000000953674316,31.57894515991211,63.15789031982422,25,21.052631378173828,26.3157901763916,33.333335876464844,0,142783.82843017578,68144.04650878906,3554.1036987304688,33050337280,8589930496,4904656896,0
199,1771541322008,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,55,5.263157844543457,21.052631378173828,31.57894515991211,27.77777862548828,25,38.095237731933594,10.526315689086914,40,15.000000953674316,10.526315689086914,10,21.052631378173828,16.666667938232422,15.000000953674316,15.789472579956055,0,142786.48986816406,68145.80090332031,3554.1839599609375,33050337280,8589930496,4930899968,0
199,1771541322209,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,23.809524536132813,55,25,10.526315689086914,19.047618865966797,5.555555820465088,10.526315689086914,15.000000953674316,42.85714340209961,15.789472579956055,15.000000953674316,31.57894515991211,25,25,15.000000953674316,19.047618865966797,0,142789.00665283203,68147.45001220703,3554.2938232421875,33050337280,8589930496,4946964480,0
199,1771541322409,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,5.263157844543457,13.636363983154297,15.000000953674316,20,15.789472579956055,10.526315689086914,15.789472579956055,19.047618865966797,15.000000953674316,42.85714340209961,47.619049072265625,15.000000953674316,21.052631378173828,15.000000953674316,21.052631378173828,21.052631378173828,0,142790.88763427734,68148.47686767578,3554.3579711914063,33050337280,8589930496,4963086336,0
199,1771541322609,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,5.555555820465088,5.263157844543457,28.571430206298828,19.047618865966797,47.619049072265625,10,14.285715103149414,20,10,10.526315689086914,0,9.523809432983398,15.000000953674316,19.047618865966797,20,57.142860412597656,0,142792.82861328125,68149.55206298828,3554.4448852539063,33050337280,8589930496,4992405504,0
199,1771541322809,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,66.66667175292969,15.000000953674316,15.789472579956055,10,15.000000953674316,10.526315689086914,10,15.789472579956055,14.285715103149414,15.000000953674316,10.526315689086914,5.555555820465088,5,19.047618865966797,15.789472579956055,11.111111640930176,0,142795.5228881836,68150.93017578125,3554.5161743164063,33050337280,8589930496,5008220160,0
199,1771541323009,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,66.66667175292969,15.000000953674316,15.789472579956055,10,15.000000953674316,10.526315689086914,10,15.789472579956055,14.285715103149414,15.000000953674316,10.526315689086914,5.555555820465088,5,19.047618865966797,15.789472579956055,11.111111640930176,0,142797.14123535156,68151.72521972656,3554.6053466796875,33050337280,8589930496,5022380032,0
199,1771541323209,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,23.076923370361328,17.948719024658203,15.000000953674316,17.948719024658203,20.512821197509766,30.000001907348633,15.384615898132324,12.820513725280762,7.692307949066162,10.256410598754883,60.000003814697266,10,12.820513725280762,21.052631378173828,16.666667938232422,20,0,142800.05810546875,68153.6605834961,3554.689208984375,33050337280,8589930496,5107863552,0
199,1771541323409,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,35,31.57894515991211,28.571430206298828,25,25,21.052631378173828,20,20,31.57894515991211,65,25,36.842105865478516,25,28.571430206298828,27.77777862548828,30.000001907348633,0,142802.62139892578,68155.36279296875,3554.76806640625,33050337280,8589930496,5154861056,0
199,1771541323609,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,14.285715103149414,23.809524536132813,10.526315689086914,57.894737243652344,21.052631378173828,33.333335876464844,30.000001907348633,15.000000953674316,20,35,10.526315689086914,9.523809432983398,19.047618865966797,33.333335876464844,15.789472579956055,25,0,142804.7138671875,68156.47967529297,3554.8514404296875,33050337280,8589930496,5197832192,0
199,1771541323809,1458,1500,1500,1500,1500,1500,1100,1099,1309,1400,1172,1573,2189,2486,2126,2213,35,15.000000953674316,23.809524536132813,15.000000953674316,26.3157901763916,25,25,10.526315689086914,15.000000953674316,50,15.000000953674316,15.000000953674316,15.789472579956055,19.047618865966797,52.38095474243164,15.000000953674316,0,142807.16998291016,68157.9692993164,3554.9451293945313,33050337280,8589930496,5220601856,0
