Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771536040886,1400,1472,1807,1840,1806,1842,2500,2500,1487,1504,1299,1448,978,989,983,998,28.571430206298828,33.333335876464844,17.5,26.829269409179688,23.809524536132813,22.5,25,30.952381134033203,17.073171615600586,19.51219367980957,19.51219367980957,17.5,21.428571701049805,14.634145736694336,19.51219367980957,17.073171615600586,0,119492.47137451172,60398.23858642578,2816.6754760742188,33050337280,8589930496,4811464704,0
199,1771536040887,1400,1472,1807,1840,1806,1842,2500,2500,1487,1504,1299,1448,978,989,983,998,28.571430206298828,33.333335876464844,17.5,26.829269409179688,23.809524536132813,22.5,25,30.952381134033203,17.073171615600586,19.51219367980957,19.51219367980957,17.5,21.428571701049805,14.634145736694336,19.51219367980957,17.073171615600586,0,119492.47961425781,60398.24035644531,2816.6754760742188,33050337280,8589930496,4811464704,0
199,1771536041087,1400,1472,1807,1840,1806,1842,2500,2500,1487,1504,1299,1448,978,989,983,998,0,4.761904716491699,0,25,0,0,5,0,21.052631378173828,63.15789031982422,0,9.523809432983398,10,9.523809432983398,10,4.761904716491699,0,119494.630859375,60399.310546875,2816.6788940429688,33050337280,8589930496,4824780800,0
199,1771536041287,1400,1472,1807,1840,1806,1842,2500,2500,1487,1504,1299,1448,978,989,983,998,26.3157901763916,4.761904716491699,5.263157844543457,5,0,0,0,0,0,75,0,0,0,0,0,0,0,119496.78979492188,60400.35827636719,2816.6788940429688,33050337280,8589930496,4823318528,0
199,1771536041487,1400,1472,1807,1840,1806,1842,2500,2500,1487,1504,1299,1448,978,989,983,998,100,0,4.761904716491699,0,5,4.761904716491699,0,0,9.523809432983398,0,0,0,4.761904716491699,0,14.285715103149414,0,0,119498.25036621094,60400.63952636719,2816.6788940429688,33050337280,8589930496,4824084480,0
199,1771536041687,1400,1472,1807,1840,1806,1842,2500,2500,1487,1504,1299,1448,978,989,983,998,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119499.57550048828,60400.83386230469,2816.6788940429688,33050337280,8589930496,4824330240,0
199,1771536041887,1400,1472,1807,1840,1806,1842,2500,2500,1487,1504,1299,1448,978,989,983,998,38.095237731933594,0,10.526315689086914,10,10,0,0,0,9.523809432983398,4.761904716491699,4.761904716491699,65,0,40,14.285715103149414,5,0,119500.908203125,60401.15270996094,2816.6793212890625,33050337280,8589930496,4842246144,0
199,1771536042087,1400,1472,1807,1840,1806,1842,2500,2500,1487,1504,1299,1448,978,989,983,998,23.809524536132813,0,20,36.842105865478516,10,15.000000953674316,23.809524536132813,15.789472579956055,94.73684692382813,15.789472579956055,10,31.57894515991211,10.526315689086914,33.333335876464844,26.3157901763916,21.052631378173828,0,119503.44012451172,60402.47900390625,2816.6793212890625,33050337280,8589930496,4782592000,0
199,1771536042288,1400,1472,1807,1840,1806,1842,2500,2500,1487,1504,1299,1448,978,989,983,998,38.88888931274414,19.047618865966797,5,52.38095474243164,10.526315689086914,40,26.3157901763916,30.000001907348633,70,50,5.263157844543457,30.000001907348633,50,5.263157844543457,10,5,0,119506.7847290039,60404.928283691406,2816.6793212890625,33050337280,8589930496,4670107648,0
199,1771536042488,1400,1472,1807,1840,1806,1842,2500,2500,1487,1504,1299,1448,978,989,983,998,45,0,10,30.000001907348633,14.285715103149414,5,5,9.523809432983398,61.904762268066406,30.000001907348633,10.526315689086914,15.789472579956055,0,9.523809432983398,10,5.263157844543457,0,119509.76629638672,60407.07293701172,2816.7398071289063,33050337280,8589930496,4703055872,0
